date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,exchange_rate_buying,Crud_Price_Monthly_Average,Crude_price_GHS
3/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,36.67,39.86,0.904268864,63.06,57.02319454
3/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,39,42.39,0.904268864,63.06,57.02319454
3/15/2006,ASHANTI,KMA,Kumasi,215,6.68,-1.62,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,85,92.39,0.904268864,63.06,57.02319454
3/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Cassava,68,91 KG,actual,Wholesale,GHS,14,15.22,0.904268864,63.06,57.02319454
3/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,14.37,15.62,0.904268864,63.06,57.02319454
3/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,40,43.48,0.904268864,63.06,57.02319454
3/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,17.9,19.46,0.904268864,63.06,57.02319454
3/15/2006,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,218,7.58,-1.93,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,36.83,40.03,0.904268864,63.06,57.02319454
3/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,25.9,28.15,0.904268864,63.06,57.02319454
3/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,36.57,39.75,0.904268864,63.06,57.02319454
3/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,27.7,30.11,0.904268864,63.06,57.02319454
3/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,48.4,52.61,0.904268864,63.06,57.02319454
3/15/2006,GREATER ACCRA,ACCRA METROPOLIS,Accra,209,5.55,-0.22,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,47.1,51.2,0.904268864,63.06,57.02319454
3/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Cassava,68,91 KG,actual,Wholesale,GHS,13,14.13,0.904268864,63.06,57.02319454
3/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,17.67,19.21,0.904268864,63.06,57.02319454
3/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,28.67,31.16,0.904268864,63.06,57.02319454
3/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,22.67,24.64,0.904268864,63.06,57.02319454
3/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,20,21.74,0.904268864,63.06,57.02319454
3/15/2006,NORTHERN,TAMALE NORTH SUB METRO,Tamale,220,9.4,-0.83,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,66.67,72.47,0.904268864,63.06,57.02319454
3/15/2006,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,24,26.09,0.904268864,63.06,57.02319454
3/15/2006,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,29.33,31.88,0.904268864,63.06,57.02319454
3/15/2006,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,30,32.61,0.904268864,63.06,57.02319454
3/15/2006,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,25.67,27.9,0.904268864,63.06,57.02319454
3/15/2006,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,221,10.79,-0.85,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,50,54.35,0.904268864,63.06,57.02319454
3/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Maize,51,100 KG,actual,Wholesale,GHS,21.4,23.26,0.904268864,63.06,57.02319454
3/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Millet,73,93 KG,actual,Wholesale,GHS,28.6,31.09,0.904268864,63.06,57.02319454
3/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Rice (local),71,50 KG,actual,Wholesale,GHS,28.58,31.07,0.904268864,63.06,57.02319454
3/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Sorghum,65,109 KG,actual,Wholesale,GHS,29.2,31.74,0.904268864,63.06,57.02319454
3/15/2006,UPPER WEST,WA MUNICIPAL,Wa,222,10.05,-2.48,cereals and tubers,Yam,99,250 KG,actual,Wholesale,GHS,61.33,66.66,0.904268864,63.06,57.02319454
