market_id,market,countryiso3,admin1,admin2,latitude,longitude
10580,Nanton,GHA,NORTHERN,SAVELUGU NANTON,9.55,-0.73
10581,Nyoli,GHA,UPPER WEST,WA WEST,9.75,-2.5
10582,Denu,GHA,VOLTA,KETU SOUTH,6.1,1.15
10583,Tangasie,GHA,UPPER WEST,NADOWLI-KALEO,10.38,-2.71
10713,Woriyanga,GHA,UPPER EAST,GARU TEMPANE,10.89,-0.07
10946,Agbogbloshie,GHA,GREATER ACCRA,ACCRA METROPOLIS,5.55,-0.22
10947,Madina,GHA,GREATER ACCRA,LA NKWANTANANG MADINA,5.68,-0.17
10948,Goaso,GHA,BRONG AHAFO,ASUNAFO NORTH,6.81,-2.52
10949,Takoradi,GHA,WESTERN,SEKONDI TAKORADI,4.9,-1.76
10950,Lingbinsi,GHA,NORTHERN,MAMPRUSI EAST,10.4,-0.56
10951,Bibiani,GHA,WESTERN,SEFWI BIBIANI-ANHWIASO BEKWAI,6.45,-2.32
